Codigo;Descricao;Tipo;Unidade;Familia;Desc.Familia;Pos.IPI/NCM;Descr.Espec.;Materia Pri.;IPI de Pauta;Observacao;Serie
000000000000184;6801DD ROLAMENTO;PA;PC;0001;SEM CLASSIFICACAO;8482.10.10;;;;;
000000000000185;6200ZZ ROLAMENTO DE ESFERAS;PA;PC;0001;SEM CLASSIFICACAO;8482.10.10;;;;;
000000000000186;HR32004XJ ROLAMENTO;PA;PC;0001;SEM CLASSIFICACAO;8482.20.10;;;;;
000000000000187;MF 106 ZZ ROLAMENTO;PA;PC;0001;SEM CLASSIFICACAO;8482.10.10;;;;;
000000000000188;MR 106 ZZ ROLAMENTO;PA;PC;0001;SEM CLASSIFICACAO;8482.10.10;;;;;
000000000000189;HR32004XJ ROLAMENTO;PA;PC;0001;SEM CLASSIFICACAO;8482.20.10;;;;;
000000000000190;6910ZZ ROLDE ESFERAS;PA;PC;0001;SEM CLASSIFICACAO;8482.10.10;;;;;
000000000000191;MR128ZZ1MC3 ROLAMENTO;PA;PC;0001;SEM CLASSIFICACAO;8482.10.10;;;;;
000000000000192;6807 ZZ ROL DE ESFERAS;PA;PC;0001;SEM CLASSIFICACAO;8482.10.10;;;;;
000000000000193;POST-IT 657 76X 102 AM 100FL H;PA;BL;0001;SEM CLASSIFICACAO;4820.10.00;;;;;
000000000000194;FITA ADESIVA CREPE 2350C 19X50;PA;RL;0001;SEM CLASSIFICACAO;4811.41.10;;;;;
000000000000195;FITA ADESIVA CREPE 2350C 50X50;PA;RL;0001;SEM CLASSIFICACAO;4811.41.10;;;;;
000000000000196;FITA ADESIVA EMPACOT 45X50 580;PA;RL;0001;SEM CLASSIFICACAO;3919.10.00;;;;;
000000000000197;PASTA L OF CR;PA;PC;0001;SEM CLASSIFICACAO;4202.12.10;;;;;
000000000000198;CX CORREP SIMPLES FIXA 941 CR;PA;PC;0001;SEM CLASSIFICACAO;3926.10.00;;;;;
000000000000199;FORM 240 X11 1V BCL169 MICROFO;PA;CX;0001;SEM CLASSIFICACAO;4820.40.00;;;;;
000000000000201;GRAMPEADOR METALICO C20 P20FL;PA;PC;0001;SEM CLASSIFICACAO;8472.90.40;;;;;
000000000000202;PORTA CARTAO C/INDICE P400 PT1;PA;PC;0001;SEM CLASSIFICACAO;4820.30.00;;;;;
000000000000203;GRAFITE 0,5 HB BIG TREE TB C12;PA;TB;0001;SEM CLASSIFICACAO;9609.20.00;;;;;
000000000000204;GRAFITE 0,7 HB BIG TREE TB C12;PA;TB;0001;SEM CLASSIFICACAO;9609.20.00;;;;;
000000000000205;IMA P/QUADRO MAG. REDONDO 15X2;PA;PC;0001;SEM CLASSIFICACAO;8505.19.90;;;;;
000000000000206;CANETA RETROPR MEDIA 6 CORES O;PA;ES;0001;SEM CLASSIFICACAO;9608.20.00;;;;;
000000000000207;CANETA HID. PONTA POROSA SP/AZ;PA;PC;0001;SEM CLASSIFICACAO;9608.20.00;;;;;
000000000000208;CANETA HID. PONTA POROSA SP/PR;PA;PC;0001;SEM CLASSIFICACAO;9608.20.00;;;;;
000000000000209;CLIPS N.2/0 GALVANIZADO 500GR;PA;CX;0001;SEM CLASSIFICACAO;8305.90.00;;;;;
000000000000210;EXTRATOR DE GRAMPOS ESPATULA G;PA;PC;0001;SEM CLASSIFICACAO;7326.19.00;;;;;
000000000000211;ARQUIVO MORTO PAPELAO;PA;PC;0001;SEM CLASSIFICACAO;4819.10.00;;;;;
000000000000212;CANETA RETROPOJETOR 2MM PT;PA;PC;0001;SEM CLASSIFICACAO;9608.20.00;;;;;
000000000000213;MARCA TEXTO LUMICOLOR 200SL AM;PA;PC;0001;SEM CLASSIFICACAO;9608.20.00;;;;;
000000000000214;MARCA TEXTO LUMICOLOR 200SL VD;PA;PC;0001;SEM CLASSIFICACAO;9608.20.00;;;;;
000000000000215;MARCA TEXTO LUMICOLOR 200SL LR;PA;PC;0001;SEM CLASSIFICACAO;9608.20.00;;;;;
000000000000216;PAPEL 75GR 210X297 A4 RECICLAD;PA;RM;0001;SEM CLASSIFICACAO;4802.56.10;;;;;
000000000000217;PAPEL 75GR A4 210X297 BR;PA;PC;0001;SEM CLASSIFICACAO;4802.56.10;;;;;
000000000000218;RECIBO COM. S/CANHOTO6063-2 50;PA;BL;0001;SEM CLASSIFICACAO;4820.90.00;;;;;
000000000000219;BATERIA 12VX18AH UP12180;PA;UN;0001;SEM CLASSIFICACAO;8507.20.10;;;;;
000000000000220;TM TM23 TAR FUND 38.10X505 4PC;PA;KG;0001;SEM CLASSIFICACAO;7407.29.10;;;;;
000000000000221;AISI 304 RED DESC 12.70X1000 2;PA;KG;0001;SEM CLASSIFICACAO;7222.11.00;;;;;
000000000000222;AISI 304RED DESC 15.88X1000 1P;PA;KG;0001;SEM CLASSIFICACAO;7222.11.00;;;;;
000000000000223;AISI304 RED DESC 25.40X1000 2P;PA;KG;0001;SEM CLASSIFICACAO;7222.11.00;;;;;
000000000000224;GGD 1020 RED TREF 19.05X2000 1;PA;KG;0001;SEM CLASSIFICACAO;7215.50.00;;;;;
000000000000225;GGD 1020 RED LAM 25.00X2000 1P;PA;KG;0001;SEM CLASSIFICACAO;7214.99.10;;;;;
