FRAME DPS 475  LEITCH;DPS 475;BG475A0048;4156;;ALMOX-A3;10/08/2023;ALM A4 12/09/2021(INVT 08/2023);;
NOBREAK 9PX6KI EATON;9PX6KI;G203N25009;8615;NOVO;PREDIO 197 (4° ANDAR);24/07/2023;;24/07/2023;DANFE 000013497 TELCABOS
NOBREAK 9PX6KI EATON;9PX6KI;G203N25010;8614;NOVO;PREDIO 197 (4° ANDAR);24/07/2023;;24/07/2023;DANFE 000013497 TELCABOS
NOBREAK 9PX6KI EATON;9PX6KI;G203N25011;8617;NOVO;PREDIO 197 (4° ANDAR);24/07/2023;;24/07/2023;DANFE 000013497 TELCABOS
NOBREAK 9PX6KI EATON;9PX6KI;G203N25012;8619;NOVO;PREDIO 197 (4° ANDAR);24/07/2023;;24/07/2023;DANFE 000013497 TELCABOS
NOBREAK 9PX6KI EATON;9PX6KI;G203N25015;8612;NOVO;PREDIO 197 (4° ANDAR);24/07/2023;;24/07/2023;DANFE 000013497 TELCABOS
NOBREAK 9PX6KI EATON;9PX6KI;G203N25016;8613;NOVO;PREDIO 197 (4° ANDAR);24/07/2023;;24/07/2023;DANFE 000013497 TELCABOS
DECODER DR5000 ATEME;DR5000 - HEVC;1416-00802;8609;MCR;PREDIO 197;20/07/2023;INSTALADO PREDIO 197 20/07/2023 WASHINGTON;;
DECODER DR5000 ATEME;DR5000 HEVC;1842-07970;4619;MCR;PREDIO 197;20/07/2023;INSTALADO PREDIO 197 20/07/2023 WASHINGTON;;
LNB 5250RF BAND-C 3.7 A 4.7 GHZ NORSAT;5250RF;2102-N20204-02169;8325;ZAP COMERCIAL ELETRONICA LTDA;VENDIDO;20/07/2023;VENDIDO LUCIANO /PEDRO 20/07/2023;03/04/2023- ZAP COMERCIAL ELETRONICA LTDA, DANFE 7403 R$ 1.585,00;
FILTRO 5G SATÉLITE BANDA-C 3.70 A 4.20 GHz ZATECH;ZBPFC-3742;053;8589;NOVO;VENDIDO ;20/07/2023;VENDIDO LUCIANO /PEDRO 20/07/2023;30/06/2023;NF: PROTOLOCO AGUARDANDO NOTA FISCAL ZAPI
ENCODER CM5000 ATEME;CM5000 HEVC;1826-07331;4451;CASA.43;ALMOX-A3;10/08/2023;ALM A4 10/08/2023 (INVT 08/2023);17/05/2019;
HPA VZC6964A4 CPI;VZC6964A4;1810;7859;CASA.61;BETA MANUTENÇÃO;18/07/2023;SAIU MANUTENÇÃO BETA 18/07/2023;26/12/2022;VEIO F&F WORK
HPA XTRD-400C XICOM TECH;XTRD-400C;8788;8015;CASA.44;BETA MANUTENÇÃO;02/08/2023;SAIU MANUTENÇÃO BETA 02/08/2023;;ALTERADO SN: 23582
MULTIPLEXER TS9600-8 TEC SYS;TS9600-8 ;ANFALE00012  (DANFE 15004);4560;CASA.32;CONTEINER TECNICO;01/08/2023;INSTALADO CONTEINER TECNICO 01/08/2023´(INVT 2023);;
ENCODER KYRION CM5000E ATEME;KYRION CM5000E;2311-00528;8423;TESTE CONTEINER TECNICO;ALMOX-A3;18/08/2023;ALM A3 18/08/2023 (V.CONTEINER TECNICO CASSIO);12/05/2023;DI: 23/0906295-1
FONTE HPA AWMAG-CX400-BRE ADVANTECH;AWMAG-CX400-BRE;ILEGIVEL;8385;LABORATORIO ;BETEL MANUTENCAO;18/07/2023;SAIU MANUTENÇÃO BETEL 18/07/2023;18/07/2023;
ENCODER CM5000 ATEME;CM5000 (HEVC);1719-06096;4600;CASA.28;CASA.44;17/07/2023;INSTALADO C.44 17/07/2023 (LUCAS/CASSIO);;
ENCODER CM5000 ATEME;CM5000;1312-00535;7874;CASA.44;CONTEINER TECNICO (DEFEITO);17/07/2023;SAIU CONTEINER TÉCNICO 17/07/2023 (V.C.44);22/12/2022;VEIO F&F WORK
ENCODER HVE9100S NTT ELETRON;HVE9100S;E12031783;7875;CASA.61;SEPARADO FLY PERU;17/07/2023;SEPARADO FLY PERU 17/07/2023 (CASSIO0;23/02/2023;VEIO F&F WORK
FILTRO C-BAND BPF-C-2 NORSAT;C-BAND BPF-C-2;C002128199;4039;NOVO (LUIZ CLAUDIO);PREDIO  197;17/07/2023;INSTALADO PREDIO 197 17/07/2023 (DAVID);16/06/2023;V.LUIZ CLAUDIO (SEM NOTA)
HPA SSPBMG-C400BRE ADVANTECH;SSPBMG-C400BRE;AMT-C5254;4017;CASA.44;ALMOX;17/07/2023;ALM B4 17/07/2023 (V.C.44 CASSIO/WAGNÃO);;
HPA VZC6964A4 VARIAN;VZC6964A4 (OBS);1137;4531;LABORATORIO TESTE;CASA.61;17/07/2023;INSTALADO C.61 17/07/2023 (TALLES);;
HPA XTRD-400C XICOM TECH;XTRD-400C;50651;7119;ALMOX;CASA.44;17/07/2023;INSTALADO C.44  17/07/2023 (VAGNÃO);30/05/2022 - DI- 22/1020652-8;
MODULDOR AZ110 NEWTEC;AZ110;40000465;8607;CASA.07;ALMOX-A3;10/08/2023;ALM A3 17/07/2023 (V.C.07 CASSIO)(INVT 08/2023);;
ENCODER EN-91 ADTEC;EN-91;201407020;7641;ALMOX;CASA.61;17/07/2023;INSTALADO C.61 17/07/2023 (TALLES);19/04/2023;VEIO F&F WORK
ENCODER KYRION CM5000E ATEME;KYRION CM5000E;2311-00530;8426;PREDIO 197;CASA.03;16/08/2023;INSTALADO C.03 16/08/2023 (KILKA. V.PREDIO197);12/05/2023;DI: 23/0906295-1
